股票id	股票名	价格	涨跌幅(%)	换手率(%)	市盈率	市净率	行业板块	社保基金	社保基金数	公告日期	送股	转股	派息	除权日	登记日
600199	金种子酒	24.59	-1.13	1.17	--	6.46	白酒	['大成基金管理有限公司－社保基金17011组合']	1	2023-04-28	0	0	0	--	--
600200	江苏吴中	8.10	-3.23	2.32	--	3.14	化学制剂	[]	0	2023-04-27	0	0	0	--	--
600201	生物股份	10.45	-2.25	0.82	49.52	2.26	动物保健	[]	0	2023-04-21	0	0	0.6	--	--
600202	哈空调	5.29	-0.38	1.10	52.86	2.48	火电设备	[]	0	2023-03-28	0	0	0	--	--
600203	福日电子	5.84	-1.68	1.55	--	1.52	电子零部件制造	[]	0	2023-04-15	0	0	0	--	--
600206	有研新材	13.12	-0.91	1.77	54.21	3.03	非金属新材料	[]	0	2023-04-28	0	0	0.96	--	--
600207	安彩高科	5.79	-2.03	0.73	92.45	2.01	光伏设备	[]	0	2023-03-30	0	0	0	--	--
600208	新湖中宝	2.97	+4.21	1.99	12.18	0.60	房地产开发	[]	0	2023-04-29	0	0	0.18	--	--
600210	紫江企业	5.18	-2.63	1.07	13.08	1.40	包装印刷	[]	0	2023-03-22	0	0	2.5	--	--
600211	西藏药业	57.48	-10.00	4.70	28.60	4.26	中药	[]	0	2023-04-11	0	0	7.46	2023-04-17	2023-04-14
600212	绿能慧充	9.68	-1.33	2.76	--	36.25	综合	[]	0	2023-04-29	0	0	0	--	--
600213	亚星客车	8.75	+1.51	2.78	--	19.68	商用载客车	[]	0	2023-04-28	0	0	0	--	--
600215	派斯林	6.81	-0.58	4.53	18.99	1.87	园区开发	[]	0	2023-04-29	0	0	0	--	--
600216	浙江医药	11.72	-2.98	1.49	28.81	1.20	化学原料药	[]	0	2023-04-26	0	0	1.7	--	--
600217	中再资环	4.98	+0.61	0.68	173.80	1.65	环保工程及服务	[]	0	2023-04-25	0	0	0	--	--
600218	全柴动力	8.63	-1.03	0.56	37.97	1.20	内燃机	[]	0	2023-03-31	0	0	0.8	--	--
600219	南山铝业	3.32	-0.30	0.75	11.74	0.85	铝	['全国社保基金一一四组合']	1	2023-04-29	0	0	0.4	--	--
600220	江苏阳光	2.47	-0.80	0.43	44.76	2.05	毛纺	[]	0	2023-04-28	0	0	0.2	--	--
600221	海航控股	1.69	-0.59	0.21	--	31.58	航空运输	[]	0	2023-04-21	0	0	0	--	--
600222	太龙药业	6.03	-0.50	1.78	--	2.23	中药	[]	0	2023-04-07	0	0	0	--	--
600223	鲁商发展	11.21	+1.17	1.01	105.04	2.96	房地产开发	[]	0	2023-03-31	0	0	0	--	--
600225	卓朗科技	4.23	-0.70	0.46	30.26	6.58	房地产开发	[]	0	2023-04-26	0	0	0	--	--
600226	ST瀚叶	2.72	-0.73	0.30	43.37	2.70	移动互联网服务	[]	0	2023-03-30	0	0	0	--	--
600227	圣济堂	2.83	-1.39	0.38	--	1.74	化学制剂	[]	0	2023-04-26	0	0	0	--	--
600228	返利科技	14.20	-2.00	33.00	140.50	9.16	互联网信息服务	[]	0	2023-04-29	0	0	0	--	--
600229	城市传媒	11.29	+4.83	16.33	21.96	2.45	平面媒体	[]	0	2023-04-29	0	0	2	--	--
600230	沧州大化	15.57	-1.02	1.40	16.53	1.62	聚氨酯	[]	0	2023-04-27	0	0	3.02	--	--
600231	凌钢股份	2.21	-0.45	0.31	--	0.77	普钢	[]	0	2023-04-29	0	0	0	--	--
600232	金鹰股份	5.49	-0.18	0.74	44.53	1.88	丝绸	[]	0	2023-04-07	0	0	2	--	--
600233	圆通速递	16.99	-0.93	0.52	14.78	2.12	物流	['全国社保基金六零一组合']	1	2023-04-26	0	0	2.5	--	--
600234	科新发展	6.25	-0.64	1.17	--	2.76	综合	[]	0	2023-04-28	0	0	0	--	--
600235	民丰特纸	5.38	+0.37	0.93	640.68	1.34	造纸	[]	0	2023-03-31	0	0	0.1	--	--
600236	桂冠电力	5.63	+0.54	0.12	16.18	2.58	水电	[]	0	2023-04-28	0	0	2	--	--
