股票id	股票名	价格	涨跌幅(%)	换手率(%)	市盈率	市净率	行业板块	社保基金	社保基金数	公告日期	送股	转股	派息	除权日	登记日
300168	万达信息	13.79	+7.57	6.42	--	6.26	IT服务	[]	0	2023-04-25	0	0	0	--	--
300169	天晟新材	4.10	+0.99	2.03	--	5.22	其他化学制品	[]	0	2023-04-28	0	0	0	--	--
300170	汉得信息	10.42	+0.77	5.02	83.02	2.35	IT服务	['汇添富基金管理股份有限公司－社保基金17022组合', '汇添富基金管理股份有限公司－社保基金四二三组合']	2	2023-04-25	0	0	0.6	--	--
300171	东富龙	23.98	-1.84	0.60	20.92	2.36	其它专用机械	[]	0	2023-04-27	0	0	3.3	--	--
300172	中电环保	4.56	0.00	0.75	37.87	1.71	环保工程及服务	[]	0	2023-04-21	0	0	0.5	2023-04-28	2023-04-27
300173	福能东方	4.21	-1.64	0.66	--	3.61	其它专用机械	[]	0	2023-04-22	0	0	0	--	--
300174	元力股份	15.89	-1.12	1.12	26.38	1.96	其他化学制品	[]	0	2023-04-27	0	0	0.5	--	--
300175	朗源股份	3.47	-1.98	1.49	--	2.96	果蔬加工	[]	0	2023-04-28	0	0	0	--	--
300176	派生科技	6.08	-2.72	1.02	130.38	2.66	多元金融	[]	0	2023-04-28	0	0	0	--	--
300179	四方达	9.44	-2.58	1.26	30.90	4.20	磨具磨料	[]	0	2023-04-21	0	0	0	--	--
300180	华峰超纤	3.94	+2.07	1.34	--	1.47	合成革	[]	0	2023-04-25	0	0	0	--	--
300181	佐力药业	12.88	-4.59	3.17	29.94	3.28	中药	['全国社保基金四零四组合']	1	2023-04-26	0	0	3	--	--
300182	捷成股份	7.30	+1.81	13.88	49.19	2.57	影视动漫	[]	0	2023-04-27	0	0	0	--	--
300183	东软载波	14.91	+1.57	3.25	44.46	2.18	终端设备	[]	0	2023-04-24	0	0	1.5	--	--
300184	力源信息	4.70	-1.47	1.36	34.51	1.52	其他电子	[]	0	2023-04-26	0	0	0	--	--
300185	通裕重工	2.54	-0.78	0.81	35.35	1.47	风电设备	[]	0	2023-04-25	0	0	0.3	--	--
300187	永清环保	5.84	-0.68	0.42	--	3.82	环保工程及服务	[]	0	2023-04-25	0	0	0	--	--
300188	美亚柏科	21.99	-6.78	7.98	493.99	4.65	软件开发	[]	0	2023-04-01	0	0	0.45	--	--
300189	神农科技	3.43	-1.15	0.97	--	4.37	种子生产	[]	0	2023-04-26	0	0	0	--	--
300190	维尔利	4.14	+0.24	0.51	--	0.85	环保工程及服务	[]	0	2023-04-25	0	0	0.5	--	--
300191	潜能恒信	17.54	-1.02	1.03	169.57	4.43	油气钻采服务	[]	0	2023-04-22	0	0	0.2	--	--
300192	科德教育	17.30	+19.97	19.49	60.69	7.34	其他文化传媒	[]	0	2023-04-24	0	0	0	--	--
300193	佳士科技	7.29	-2.28	1.03	22.92	1.68	其它通用机械	[]	0	2023-04-01	0	0	1	--	--
300194	福安药业	4.25	-2.75	3.67	19.96	1.25	化学制剂	[]	0	2023-05-05	0	0	0.5	2023-05-12	2023-05-11
300195	长荣股份	5.80	+0.87	1.43	--	0.94	印刷包装机械	[]	0	2023-04-27	0	0	0	--	--
300196	长海股份	13.79	0.00	1.07	8.40	1.33	玻纤	['全国社保基金一一八组合', '全国社保基金四一三组合']	2	2023-04-11	0	0	2	--	--
300197	节能铁汉	2.76	+1.10	2.84	--	1.41	园林工程	[]	0	2023-04-21	0	0	0	--	--
300198	纳川股份	2.67	-0.37	0.72	--	2.64	管材	[]	0	2023-04-28	0	0	0	--	--
300199	翰宇药业	10.82	-3.82	6.61	--	7.35	化学制剂	[]	0	2023-04-27	0	0	0	--	--
300200	高盟新材	8.23	-1.44	0.71	25.77	1.76	聚氨酯	[]	0	2023-03-31	0	0	1.5	--	--
300201	海伦哲	3.66	-4.44	2.34	50.96	2.76	其它专用机械	[]	0	2023-03-22	0	0	0	--	--
300203	聚光科技	22.84	-0.65	1.34	--	3.29	环保工程及服务	[]	0	2023-04-27	0	0	0	--	--
300204	舒泰神	10.76	-3.58	2.89	--	4.01	生物制品	[]	0	2023-03-21	0	0	0	--	--
300205	天喻信息	14.12	+6.49	5.27	58.53	4.03	终端设备	[]	0	2023-04-26	0	0	0.45	--	--
300206	理邦仪器	15.96	-1.85	2.69	28.67	4.66	医疗器械	[]	0	2023-04-21	0	0	2.07	2023-04-28	2023-04-27
300207	欣旺达	16.21	-3.45	1.55	37.54	1.51	电子零部件制造	['广发基金管理有限公司－社保基金四二零组合']	1	2023-04-27	0	0	0.8	--	--
300208	青岛中程	8.77	-2.23	0.85	--	6.25	工控自动化	[]	0	2023-04-26	0	0	0	--	--
300210	森远股份	3.02	0.00	1.29	--	2.54	其它专用机械	[]	0	2023-04-27	0	0	0	--	--
300211	亿通科技	8.26	-2.02	1.69	191.28	4.83	通信传输设备	[]	0	2023-03-18	0	0	0.09	--	--
300212	易华录	34.08	+5.58	7.98	--	5.87	IT服务	[]	0	2023-04-18	0	0	0	--	--
300213	佳讯飞鸿	7.51	-0.53	10.49	75.89	2.00	终端设备	[]	0	2023-04-22	0	0	0.5	--	--
300214	日科化学	6.22	-0.48	0.25	21.78	1.14	其他化学制品	[]	0	2023-04-21	0	0	0.6	--	--
300215	电科院	4.95	-0.60	0.92	522.07	1.91	高压设备	[]	0	2023-04-27	0	0	0	--	--
300217	东方电热	5.47	-3.01	1.73	26.13	2.42	家电零部件	[]	0	2023-04-25	0	0	0.2	--	--
300218	安利股份	8.85	-1.99	0.81	--	1.52	合成革	['中信证券股份有限公司-社保基金17051组合']	1	2023-03-31	0	0	2.3	--	--
300219	鸿利智汇	7.05	-0.84	1.02	29.29	2.07	LED	[]	0	2023-04-26	0	0	0	--	--
300220	ST金运	8.08	-1.82	5.83	--	13.53	其他电子	[]	0	2023-04-28	0	0	0	--	--
300221	银禧科技	5.02	+0.20	1.51	--	1.89	改性塑料	[]	0	2023-04-11	0	0	0	--	--
300222	科大智能	7.16	-1.51	1.78	--	3.15	其它通用机械	[]	0	2023-04-22	0	0	0	--	--
300223	北京君正	82.45	-1.90	2.34	59.06	3.52	集成电路	[]	0	2023-04-10	0	0	0.8	--	--
300224	正海磁材	12.09	-2.18	0.93	22.64	2.93	磁性材料	[]	0	2023-04-19	0	0	2	2023-04-26	2023-04-25
300225	金力泰	6.32	-0.47	2.31	--	4.03	涂料油漆油墨制造	[]	0	2023-04-27	0	0	0	--	--
300226	上海钢联	43.63	+0.30	2.40	53.42	6.36	互联网信息服务	['全国社保基金一一四组合']	1	2023-04-14	0	2	0.8	--	--
300227	光韵达	7.11	-1.11	1.51	50.53	2.34	电子零部件制造	[]	0	2023-04-04	0	0	0	--	--
300228	富瑞特装	5.77	-0.69	3.04	--	1.91	金属制品	[]	0	2023-04-27	0	0	0	--	--
300229	拓尔思	22.80	+2.29	9.59	132.46	5.37	软件开发	[]	0	2023-04-15	0	0	0.4	--	--
300230	永利股份	3.62	-1.90	1.53	12.92	1.11	其他塑料制品	[]	0	2023-04-28	0	0	0	--	--
300231	银信科技	8.89	+0.11	3.71	21.76	2.42	IT服务	[]	0	2023-04-11	0	0	2	--	--
300232	洲明科技	10.03	+13.98	13.71	84.04	2.30	LED	[]	0	2023-04-17	0	0	0.15	--	--
300233	金城医药	19.37	-3.54	1.20	35.56	2.04	化学制剂	['全国社保基金一一五组合']	1	2023-03-31	0	0	1.5	--	--
300234	开尔新材	5.52	-0.90	1.02	37.79	2.62	其他建材	[]	0	2023-04-15	0	0	0.15	--	--
300235	方直科技	21.95	+2.67	25.87	167.22	5.30	软件开发	[]	0	2023-03-28	0	5	0.4	--	--
300236	上海新阳	41.63	+0.43	3.99	105.87	2.74	其他化学制品	[]	0	2023-04-27	0	0	1.5	--	--
300237	美晨生态	2.02	0.00	1.01	--	3.59	园林工程	[]	0	2023-04-22	0	0	0	--	--
300238	冠昊生物	12.72	-0.93	1.79	--	6.62	医疗器械	[]	0	2023-04-20	0	0	0	--	--
300239	东宝生物	6.47	-2.12	0.90	32.87	2.46	生物制品	[]	0	2023-03-22	0	0	0.26	--	--
300240	飞力达	6.35	-0.63	0.64	50.88	1.61	物流	[]	0	2023-04-25	0	0	0.5	--	--
300242	佳云科技	4.02	-1.95	3.89	274.88	5.44	营销服务	[]	0	2023-04-28	0	0	0	--	--
300243	瑞丰高材	8.39	+0.96	0.92	41.10	2.22	其他化学制品	[]	0	2023-04-18	0	0	0	--	--
300244	迪安诊断	26.25	-3.81	1.07	19.57	2.17	医疗器械	['全国社保基金四一八组合']	1	2023-04-13	0	0	2	--	--
300245	天玑科技	9.23	+1.99	2.94	--	2.00	IT服务	[]	0	2023-04-25	0	0	0	--	--
300246	宝莱特	16.64	+1.09	3.40	83.08	2.10	医疗器械	[]	0	2023-04-19	0	5	2	--	--
300247	融捷健康	3.58	-1.10	1.10	21.75	2.88	小家电	[]	0	2023-04-26	0	0	0	--	--
300248	新开普	10.04	+0.10	4.49	41.91	2.41	IT服务	[]	0	2023-04-27	0	0	0.65	--	--
300249	依米康	10.28	-3.02	6.87	--	7.28	空调	[]	0	2023-04-18	0	0	0	--	--
